Date,Enseigne,Article,Prix
14/09/2022,Carrefour,SoupeTomBou,1.29
14/09/2022,Carrefour,Emmental Tr,1.85
14/09/2022,Carrefour,RizMedit250,1.49
01/10/2022,Carrefour,RizMedit250,1.49
14/09/2022,Carrefour,Ballz,0.75
14/09/2022,Action,Milka125gr,1.24
14/09/2022,Colruyt,Lays 45gr,0.69
14/09/2022,Colruyt,Milka100gr,1.19
14/09/2022,Colruyt,Bister250,1.29
14/09/2022,Colruyt,EverydayChocoNoir200g,0.74
14/09/2022,Colruyt,Croutons,1.35
14/09/2022,Colruyt,Harrys Mie Complet,3.69
21/09/2022,Delhaize,Harrys Mie Complet,3.69
14/09/2022,Colruyt,FromageTrMou,1.11
14/09/2022,Colruyt,PainProtéiné425gr,3.99
14/09/2022,Colruyt,EverydayGalette,0.99
21/09/2022,Delhaize,Milka100gr,1.19
21/09/2022,Delhaize,PainProtéiné425gr,3.99
24/09/2022,Match,Fanta Zero 33cl,0.80
24/09/2022,Match,7upFree33cl,0.70
24/09/2022,Match,BiscotteBio,1.91
24/09/2022,Match,Harrys Mie Complet,3.78
24/09/2022,Match,Milka100gr,1.25
28/09/2022,Colruyt,Milka100gr,1.19
28/09/2022,Colruyt,Phil Light 320,2.86
28/09/2022,Colruyt,Harrys Mie Complet,3.69
28/09/2022,Colruyt,EverydayChocoNoir200g,0.745
28/09/2022,Colruyt,Huile Olive 1L,3.75
28/09/2022,Colruyt,Boni Ravioli,0.89
01/10/2022,Carrefour,Milka100gr,1.35
01/10/2022,Carrefour,SoupeTomBou,1.25
01/10/2022,Carrefour,Cheddar,3
01/10/2022,Carrefour,Lasagne,2.09
01/10/2022,Carrefour,Phil Light 320,3.65
01/10/2022,Carrefour,Emmental Tr,1.85
01/10/2022,Carrefour,Feta,2.19
01/10/2022,Carrefour,Cristaline50Cl,0.19
01/10/2022,Carrefour,BananeKG,1.59
01/10/2022,Carrefour,RaisinRouge,1.69
01/10/2022,Carrefour,Ballz,0.85
05/10/2022,Delhaize,Harrys Mie Complet,3.99
05/10/2022,Delhaize,Oeufs12,1.59
05/10/2022,Delhaize,RaisinRouge,2.19
05/10/2022,Delhaize,PimpsOrange,1.02
05/10/2022,Delhaize,Framboise 125gr,2.59
12/10/2022,Colruyt,Harrys Mie Complet,3.99
12/10/2022,Colruyt,Boni Ravioli,0.89
12/10/2022,Colruyt,EverydayGalette,1.25
12/10/2022,Colruyt,FromageFraisMgr,0.59
01/06/2022,Colruyt,FromageFraisMgr,0.55
12/10/2022,Colruyt,BananeKG,1.67
12/10/2022,Colruyt,PimpsOrange,0.99
19/10/2022,Carrefour,Harrys Mie Complet,4.15
19/10/2022,Carrefour,Milka100gr,1.35
19/10/2022,Carrefour,SoupeTomBou,1.25
19/10/2022,Carrefour,PainDM Complet,1.55
19/10/2022,Carrefour,TicTac Orange Big,1.25
19/10/2022,Carrefour,car fil dinde 150gr,2.85
01/11/2022,Match,Harrys Mie Complet,3.99
01/11/2022,Match,Milka100gr,1.24
01/11/2022,Match,BiscotteBio,1.89
01/11/2022,Colruyt,Phil Light 320,3.09
01/11/2022,Colruyt,Harrys Mie Complet,4.15
02/11/2022,Colruyt,Milka100gr,1.19
02/11/2022,Colruyt,Huile Olive 1L,4.09
02/11/2022,Colruyt,EverydayGalette,0.99
02/11/2022,Colruyt,Calvé Mayo 650,3.10
02/11/2022,Colruyt,Farine T55 1kg,0.69
02/11/2022,Colruyt,BananeKG,1.27
02/11/2022,Colruyt,FromageTrMou,1.14
02/11/2022,Colruyt,Croutons,1.55
02/11/2022,Colruyt,JusOrangeBio1L,1.79
05/11/2022,Action,Milka100gr,1.23
05/11/2022,Action,kinder100gr,1.29
05/11/2022,Action,Kleenex70,0.88
05/11/2022,Action,lay's sticks paprika,0.99
08/11/2022,Match,kinder100gr,1.04
08/11/2022,Match,Harrys Mie Complet,3.99
11/11/2022,Match,Emmental Tr,2.20
11/11/2022,Match,Lays 45gr,0.75
11/11/2022,Match,Cracotte,1.05
11/11/2022,Match,BananeKG,1.79
12/11/2022,Carrefour,Emmental Tr,1.85
12/11/2022,Carrefour,Ballz,0.85
12/11/2022,Carrefour,SoupeTomBou,1.25
12/11/2022,Carrefour,Harrys Mie Complet,4.15
12/11/2022,Carrefour,BananeKG,1.00
12/11/2022,Carrefour,Croutons,1.55
23/11/2022,Spar,Lays 45gr,0.69
23/11/2022,Spar,Milka100gr,1.28
23/11/2022,Spar,Pain Brioc Hamburger,1.89
24/11/2022,Match,FromageTrMou,0.95
30/11/2022,Colruyt,FromageTrMou,1.23
30/11/2022,Colruyt,Milka100gr,1.19
30/11/2022,Colruyt,Everyday Chocolat Noir 200g,0.74
30/11/2022,Colruyt,BananeKG,1.13
30/11/2022,Colruyt,BananeKG,0.76
30/11/2022,Colruyt,PimpsOrange,0.99
30/11/2022,Colruyt,Phil Light 320,2.95
30/11/2022,Colruyt,Lays 45gr,0.69
30/11/2022,Colruyt,Harrys Mie Complet,4.05
30/11/2022,Colruyt,EverydayBurgerPoulet,1.99
30/11/2022,Colruyt,EverydayGalette,0.99
30/11/2022,Colruyt,Iceberg,0.80
30/11/2022,Carrefour,Harrys Mie Complet,4.15
